Greedy-1,Greedy-2,ABI,PBI,CIP,"(ABI,CIP,ABI)","(ABI,PBI,ABI)","(ABI,ABI,CIP)","(ABI,ABI,PBI)"
37555314.14,37555314.14,68753836.28,100775520,38099037.04,68833403.08,69301143.89,37759984.94,58377707.05
63788634.24,63788634.24,118392646.5,169745809,64332357.14,118472213.3,118939954.1,63817464.64,95540669.17
98954819.26,98954819.26,185530844.9,266952567.1,99498542.16,185610411.7,186078152.5,98983649.66,149298463.9
441783179.5,441783179.5,817347584.9,1118116194,442326902.4,817427151.7,822508626,441987850.3,664542210.2
117588674.3,117588674.3,222362395,306269831,118132397.2,222441961.8,227523436.1,117793345.1,179733254.9
157354618.2,157354618.2,301621544.9,406141154.7,157898341.1,301701111.7,306782586,157383448.6,231908123.5
360760175.2,360760175.2,698454637.8,943110112.7,361303898.1,698534204.6,703615678.9,360789005.6,535272147.5
,,,,,,,,
Greedy-1,Greedy-2,ABI,PBI,CIP,"(ABI,CIP,ABI)","(ABI,PBI,ABI)","(ABI,ABI,CIP)","(ABI,ABI,PBI)"
40000,40000,40000,17023072.22,307344.6,40000,40000,52656.6,8002501.938
10000,10000,10000,4255768.055,307344.6,10000,10000,52656.6,2000625.485
17777.8,17777.8,17777.8,7911700.492,307344.6,17777.8,17777.8,202829.2,3902553.133
160000,160000,160000,71205215.42,307344.6,160000,160000,202829.2,35122934.29
204670.8,204670.8,225137.88,45380973.23,236378.3,233738.38,1037489.624,204670.8,204670.8
28830.4,28830.4,31713.44,6392468.347,236378.3,40313.94,214783.0311,28830.4,28830.4
54172631.54,54172631.54,100776348.9,138517891.6,54716354.44,100784949.4,101588700.7,54225288.14,80241281.76
67715273.06,67715273.06,122370359.9,180840098.4,68258995.96,122378960.4,122553429.5,67767929.66,102678844.2
21737053.91,21737053.91,41382093.15,57291426.73,22280776.81,41390693.65,42194444.89,21789710.51,32725869.51
18831007.95,18831007.95,34857327.31,52002203.59,19374730.85,34865927.81,35040396.9,18883664.55,29083253.26
7183047.403,7183047.403,13541417.86,19036560.14,7726770.303,13550018.36,14353769.61,7385876.603,11085600.54
15204309.79,15204309.79,27858250.62,42182589.54,15748032.69,27866851.12,28041320.21,15407138.99,24086416.93
239098327.6,239098327.6,435349290,604956733.6,239642050.5,435357890.5,436161641.7,239301156.8,359550542.9
344258462.5,344258462.5,608481665.1,907583957,344802185.4,608490265.6,608664734.7,344461291.7,529723119.4
,,,,,,,,
Greedy-1,Greedy-2,ABI,PBI,CIP,"(ABI,CIP,ABI)","(ABI,PBI,ABI)","(ABI,ABI,CIP)","(ABI,ABI,PBI)"
40000,40000,40000,17023072.22,307344.6,40000,40000,52656.6,8002501.938
10000,10000,10000,4255768.055,307344.6,10000,10000,52656.6,2000625.485
17777.8,17777.8,17777.8,7911700.492,307344.6,17777.8,17777.8,202829.2,3902553.133
160000,160000,160000,71205215.42,307344.6,160000,160000,202829.2,35122934.29
160000,160000,160000,70620064.05,236378.3,160000,160000,204670.8,35143798.18
40000,40000,40000,17655016.01,236378.3,40000,40000,204670.8,8785949.544
17777.8,17777.8,17777.8,7343990.957,236378.3,17777.8,17777.8,28830.4,3402178.711
10000,10000,10000,4130989.75,236378.3,10000,10000,28830.4,1913723.133
15993081.01,15993081.01,15993081.01,49630826.59,16536803.91,15993081.01,15993081.01,16250408.41,32277878.95
69137630.98,69137630.98,69137630.98,221968127.2,69681353.88,69137630.98,69137630.98,69394958.38,143126351.3
14154361.08,14154361.08,14154361.08,45353100.12,14698083.98,14154361.08,14154361.08,14235848.08,28715737.94
42441890.45,42441890.45,42441890.45,138077767.1,42985613.35,42441890.45,42441890.45,42523377.45,87077990.6
15174214.33,15174214.33,15174214.33,48717202.04,15717937.23,15174214.33,15174214.33,15431541.73,31413137.83
7003477.658,7003477.658,7003477.658,23316743.92,7547200.558,7003477.658,7003477.658,7260805.058,14901101
6486072.545,6486072.545,6486072.545,21575694.92,7029795.445,6486072.545,6486072.545,6567559.545,13528846.86
16899725.43,16899725.43,16899725.43,57142995.68,17443448.33,16899725.43,16899725.43,16981212.43,35682453.26
32766662.39,32766662.39,32766662.39,105288753.1,33310385.29,32766662.39,32766662.39,33174162.39,68697424.29
33794374.17,33794374.17,33794374.17,112522650.5,34338097.07,33794374.17,33794374.17,34201874.17,72799964.37
15421467.47,15421467.47,15421467.47,51305011.45,15965190.37,15421467.47,15421467.47,15653127.07,32603229.91
23343004.58,23343004.58,23343004.58,78909512.4,23886727.48,23343004.58,23343004.58,23574664.18,49949365.91
237249563.2,237249563.2,237249563.2,723837737.2,237793286.1,237249563.2,237249563.2,237657063.2,478327607.8
296788097.2,296788097.2,296788097.2,935021799,297331820.1,296788097.2,296788097.2,297195597.2,612998274.5
178947619.2,178947619.2,178947619.2,562375994.2,179491342.1,178947619.2,178947619.2,179179278.8,362540835.5
294848004.9,294848004.9,294848004.9,939985742.4,295391727.8,294848004.9,294848004.9,295079664.5,603752926.8
