9962,drug,nature,327,303,941,"{seat,decide}",free,217,good,505,require,null
9963,walk,stock,368,856,195,"{chair,late}",grow,80,sit,387,onto,null
9964,pay,light,491,936,817,"{worker,a,stock,sometimes,bank,chair}",best,418,kitchen,787,low,null
9965,Mrs,total,190,646,622,"{lot,cover}",manage,292,start,805,performance,null
9966,both,artist,224,961,940,"{garden,manage,here}",spend,789,activity,684,center,null
9967,ask,activity,564,614,245,"{begin,college,expect}",training,828,law,848,together,null
9968,language,if,283,791,713,"{degree,within,name,paper,tree}",defense,372,business,618,activity,null
9969,south,up,693,982,185,"{maybe,outside,customer,want,blue}",drive,845,trade,786,myself,null
9970,save,another,660,403,960,"{relationship,us,himself,learn,argue,rule}",huge,367,later,845,yes,null
9971,become,assume,608,611,557,"{answer,series}",common,387,similar,501,several,null
9972,raise,political,512,518,274,"{able,everyone,child,paper}",board,23,data,305,purpose,null
9973,low,production,746,282,87,"{imagine,science,message,nation}",anyone,639,already,837,child,null
9974,pick,difficult,56,279,510,"{specific,believe,magazine,set,discussion,mouth}",drive,132,college,135,draw,null
9975,hard,hospital,379,542,506,"{almost,peace,what}",society,942,certain,792,too,null
9976,cut,child,924,596,985,"{add,pull,energy}",cultural,294,material,707,assume,null
9977,no,whole,55,98,617,"{finally,yourself,analysis,into}",provide,29,material,671,less,null
9978,time,foreign,852,245,132,{senior},guess,29,scientist,416,billion,null
9979,role,whole,913,395,647,"{where,class}",medical,568,serious,978,national,null
9980,hospital,lose,733,839,99,"{lot,thing,gun}",air,786,prevent,49,upon,null
9981,test,quickly,204,21,855,"{baby,population,pass,interest,board,maybe}",upon,985,action,455,let,null
9982,dark,forget,466,885,138,"{special,education,will}",tax,870,head,544,power,null
9983,future,talk,681,874,49,"{bar,operation,appear,build}",can,633,travel,811,work,null
9984,policy,around,12,978,630,"{billion,parent}",she,424,from,795,share,null
9985,election,range,456,162,798,"{these,thus,western,recently,stock,his}",stay,288,property,493,agency,null
9986,hotel,PM,995,750,727,"{right,successful}",nor,563,activity,616,try,null
9987,moment,television,261,258,621,{red},strategy,138,open,32,buy,null
9988,design,past,582,662,488,{around},program,669,of,838,again,null
9989,person,level,142,32,716,"{far,poor,skill,foreign}",will,488,knowledge,682,decide,null
9990,allow,nature,711,74,197,"{parent,describe}",season,114,goal,618,particular,null
9991,character,run,286,977,233,"{remember,indeed,return,two,herself,somebody}",anything,924,affect,484,I,null
9992,store,section,937,952,354,"{defense,sign,same,sure}",go,822,find,451,theory,null
9993,recognize,forward,71,411,815,"{state,spend}",light,720,oil,680,road,null
9994,card,chair,932,596,423,"{court,couple,eat,lead}",development,848,either,497,cell,null
9995,about,already,867,97,740,"{measure,glass}",program,705,source,582,ground,null
9996,carry,program,568,985,299,"{wrong,some,where,another}",bar,180,suffer,624,hold,null
9997,prepare,adult,784,174,917,"{describe,cultural,either,it,century,fight}",note,967,though,988,manage,null
9998,page,film,324,864,168,{special},growth,654,happy,556,involve,null
9999,represent,good,627,232,908,"{manage,guess,know,including,center,no}",soon,328,claim,905,movement,null
10000,little,model,303,986,395,"{message,hospital,air,meet,such,nature}",body,667,sister,628,daughter,null
10001,American,training,979,914,418,"{none,light,reflect,necessary,radio,number}",probably,238,task,237,too,null
10002,mention,couple,679,139,335,"{teacher,personal,sort,from}",fly,102,skill,75,adult,null
10003,visit,yard,390,610,428,{upon},itself,239,might,170,again,null
10004,mention,own,984,999,551,"{push,else,at,response,owner}",various,949,get,477,finish,null
10005,for,customer,759,640,462,{discussion},try,478,good,580,event,null
10006,against,he,450,757,982,"{send,important,but,around}",attack,909,reflect,589,middle,null
10007,movement,chair,220,32,988,{country},later,383,team,69,herself,null
10008,machine,indicate,921,781,473,"{can,science,until,test,success,society}",reveal,552,ready,379,table,null
10009,raise,war,402,569,35,"{however,scene,third,paper,course,age}",enjoy,546,prevent,917,enjoy,null
10010,report,cup,27,880,906,"{sit,than,high,nor}",may,875,spend,185,despite,null
10011,inside,shoulder,721,221,619,"{compare,ten,put,memory,return,me}",discussion,558,story,54,at,null
10012,wind,kitchen,459,656,282,"{happen,ok,not}",tree,684,as,768,garden,null
10013,onto,behavior,196,83,299,"{the,start,past,military,security}",young,822,responsibility,307,reach,null
10014,manager,positive,132,163,952,{to},direction,146,specific,88,five,null
10015,will,question,653,181,810,"{race,charge,thank,deep,unit,movement}",short,317,member,211,center,null
10016,star,what,168,901,870,"{attorney,business}",if,351,where,724,nature,null
10017,direction,fill,528,190,752,"{through,common,single,arm,data,point}",no,5,yes,37,stuff,null
10018,establish,against,25,631,544,"{civil,expect,participant}",own,558,level,158,husband,null
10019,into,position,766,411,525,"{investment,low,family,type}",conference,283,travel,681,himself,null
10020,parent,education,821,570,111,"{catch,very,person}",about,937,wait,722,cup,null
10021,quickly,project,213,451,572,{describe},science,950,city,776,marriage,null
10022,event,lawyer,683,570,908,"{star,no,gas}",resource,147,above,251,she,null
10023,road,book,564,209,317,"{exist,job,someone}",lawyer,723,believe,671,role,null
10024,above,production,570,336,660,"{oil,chance,visit,better,for,realize}",difference,624,study,427,star,null
10025,trip,true,425,883,152,{put},animal,574,these,35,soon,null
10026,store,under,8,78,456,"{behind,senior,such,attention}",travel,845,stuff,895,family,null
10027,summer,maybe,98,14,980,"{poor,one,accept}",want,186,shake,235,professional,null
10028,individual,practice,180,180,220,"{ten,stay,watch,increase}",public,770,same,762,special,null
10029,forward,red,690,332,135,{allow},certainly,969,reduce,498,each,null
10030,since,get,606,252,754,"{parent,how,event,opportunity,play}",set,764,kitchen,794,police,null
10031,both,fear,598,572,487,{by},difference,961,whom,865,same,null
10032,cover,could,180,657,981,"{born,PM,often,husband,development,value}",even,877,yourself,863,she,null
10033,say,property,871,481,813,"{here,information,against,sister,outside,could}",whole,234,sound,168,simple,null
10034,think,could,788,818,219,"{choose,statement,forward,reflect,short,center}",property,255,successful,894,view,null
10035,kind,prove,683,345,191,"{appear,simply,financial}",forget,702,travel,219,sit,null
10036,ok,public,762,365,288,"{late,customer,key}",public,175,design,573,class,null
10037,quite,those,25,23,258,"{color,significant,newspaper,adult,both,similar}",education,556,change,707,bit,null
10038,front,member,592,28,97,"{country,someone,bar,give}",institution,284,try,341,level,null
10039,pretty,season,751,862,720,"{bit,since,either,community,fund}",bed,466,model,689,student,null
10040,mind,follow,700,252,499,"{cup,most,American,history}",avoid,79,she,835,sing,null
10041,nice,there,872,754,408,"{change,performance,cup,since}",yes,3,treatment,13,almost,null
10042,social,successful,381,362,696,{trade},someone,293,writer,649,half,null
10043,style,new,895,689,822,"{especially,federal}",relate,765,believe,100,view,null
10044,camera,into,613,441,639,"{coach,traditional,medical}",color,915,nearly,145,grow,null
10045,lawyer,participant,87,908,515,{baby},man,611,risk,368,study,null
10046,couple,action,106,647,593,"{environment,military,instead,purpose}",food,383,pay,506,group,null
10047,bill,board,404,296,137,"{yard,administration}",already,755,cut,924,couple,null
10048,save,nothing,712,513,404,"{something,window}",develop,948,site,549,manage,null
10049,people,memory,514,147,437,"{also,store}",rate,263,anything,45,fund,null
10050,him,major,545,268,301,"{ok,Mrs,can,reach,edge}",light,276,surface,260,leave,null
10051,might,debate,915,267,372,"{seek,program}",act,753,road,85,increase,null
10052,everyone,investment,934,61,916,"{even,community,me}",ahead,925,image,949,money,null
10053,yeah,later,419,972,446,"{push,American,successful}",time,640,far,645,full,null
10054,speak,candidate,640,178,276,"{indicate,together}",wind,942,agree,339,instead,null
10055,five,reflect,400,739,442,"{occur,note,travel,base,us}",technology,574,hotel,277,investment,null
10056,time,that,937,177,193,"{course,chance,although,hold}",effort,189,big,683,four,null
10057,participant,test,852,34,915,{reveal},five,422,example,144,book,null
10058,treat,break,69,616,615,"{level,organization}",student,983,sure,49,nice,null
10059,according,nature,143,374,604,"{human,evidence,project,scene,fight}",him,67,bill,677,boy,null
10060,life,plan,789,668,219,"{traditional,forget,easy,establish}",up,716,compare,46,successful,null
10061,memory,know,705,736,75,"{organization,marriage}",vote,553,customer,349,military,null
10062,condition,type,862,842,988,"{health,ready,indeed}",fall,733,head,233,her,null
10063,right,garden,737,934,124,"{foreign,whatever,difference,standard}",after,654,send,495,safe,null
10064,PM,degree,277,857,499,"{per,name}",sort,284,include,651,character,null
10065,recent,everybody,778,784,757,"{accept,theory,artist,form}",inside,489,even,658,another,null
10066,fish,store,687,274,550,"{prevent,quality,sea,benefit,model,boy}",poor,862,wear,938,sell,null
10067,vote,dream,774,974,79,{alone},close,611,bar,426,something,null
10068,agreement,fly,957,701,53,"{population,return}",open,916,high,708,maybe,null
10069,role,although,943,380,173,"{sit,election}",design,616,early,449,chance,null
10070,level,message,558,230,170,"{tend,exactly,such,of}",field,846,occur,546,less,null
10071,government,personal,839,997,568,"{special,exist}",early,421,participant,287,ground,null
10072,during,structure,247,559,420,"{early,attention,become,paper,civil,piece}",dark,259,who,147,effect,null
10073,everybody,turn,190,852,19,"{drop,manager,arm,over,cell,air}",wind,440,must,429,clearly,null
10074,during,condition,143,737,547,"{official,during,decade}",source,997,style,914,pick,null
10075,against,because,198,251,470,"{teacher,church,establish,father}",ago,38,rate,964,for,null
10076,family,lead,995,240,166,"{different,usually,big,candidate}",someone,70,former,44,certain,null
10077,wear,team,626,807,894,"{would,north,fear,raise}",federal,811,safe,281,how,null
10078,who,may,361,787,885,{agency},order,710,safe,116,yes,null
10079,occur,order,13,615,803,"{foreign,simple,compare,doctor}",any,606,bill,551,how,null
10080,Mrs,generation,427,588,583,{prevent},model,561,people,735,upon,null
10081,fund,laugh,111,85,961,"{answer,personal,ago}",out,701,center,165,energy,null
10082,that,within,357,988,287,"{relate,whole,place,civil}",sound,492,ten,742,body,null
10083,thus,about,855,109,174,"{herself,attorney}",bank,369,need,513,create,null
